Compound,Biological Reps,Total Rows,LC50,LC50 95%CI,LC90,LC90 95%CI,malathion Pot. Rel. to Cmpd at LC50,malathion Pot. Rel. to Cmpd at LC50 95%CI,malathion Pot. Rel. to Cmpd at LC90,malathion Pot. Rel. to Cmpd at LC90 95%CI,R2,Slope,Slope CI,Tested Codes,Test Dates,Comments
propoxur,3,4,1.38,"[1.03, 1.8]",3.99,"[2.85, 5.85]",3.22,"[1.18, 9.01]",1.74,"[0.55, 5.25]",0.817,1.43,"[1, 1.94]","96K","9/24/2021, 9/17/2021, 9/23/2021", 
beta-cypermethrin,3,4,0.0524,"[0.0225, 0.111]",2.59,"[0.832, 9.45]",0.124,"[0.0276, 0.555]",1.16,"[0.228, 6.49]",0.555,0.394,"[0.274, 0.525]","96N","9/24/2021, 9/17/2021, 9/23/2021", 
cyantraniliprole,3,4,0.976,"[0.616, 1.53]",8.94,"[4.33, 21.2]",2.29,"[0.777, 6.64]",3.98,"[1.08, 15.7]",0.753,0.685,"[0.43, 1.03]","96R","9/24/2021, 9/17/2021, 9/23/2021", 
imidacloprid,3,4,0.79,"[0.526, 1.16]",5.38,"[3.01, 10.2]",1.85,"[0.64, 5.2]",2.35,"[0.669, 7.94]",0.841,0.804,"[0.557, 1.05]","96U","9/24/2021, 9/17/2021, 9/23/2021", 
S-nicotine,3,4,85.7,"[47.1, 1.65e3]",310,"[26.1, 1.40e7]",231,"[44.5, 5.13e3]",137,"[7.48, 4.48e6]",0.295,1.4,"[-5.58e-1, 8.37]","96X","9/24/2021, 9/17/2021, 9/23/2021", 
naled,3,4,0.0456,"[0.0202, 0.0858]",2.9,"[1.18, 10]",0.104,"[0.0297, 0.351]",1.3,"[0.31, 6.62]",0.357,0.367,"[0.241, 0.496]","96B","9/24/2021, 9/21/2021, 9/29/2021", 
aziphos-methyl,3,4,0.128,"[0.091, 0.174]",0.648,"[0.368, 1.16]",0.299,"[0.109, 0.852]",0.284,"[0.0848, 0.966]",0.759,0.943,"[0.579, 1.46]","96E","9/24/2021, 9/21/2021, 9/29/2021", 
carbaryl,3,4,87.7,"[14.2, 1.64e3]",6.42e5,"[341, 2.80e10]",213,"[23.1, 4.53e3]",2.81e5,"[180, 1.25e10]",0.0778,0.168,"[0.0599, 0.395]","96H","9/24/2021, 9/21/2021, 9/29/2021", 
bifenthrin,3,4,1.31,"[0.963, 1.75]",6.05,"[3.8, 10.1]",3.08,"[1.11, 8.55]",2.65,"[0.828, 8.65]",0.82,0.999,"[0.724, 1.31]","96L","9/24/2021, 9/21/2021, 9/29/2021", 
pyethrum,3,4,56.4,"[18.4, 407]",230,"[40, 3.96e4]",131,"[22.2, 1.42e3]",100,"[8.55, 2.41e4]",0.435,0.912,"[0.0947, 9.83]","96P, 95P","9/24/2021, 9/21/2021, 9/29/2021", 
clothianidin,3,4,0.981,"[0.62, 1.61]",12,"[6.27, 27.3]",2.32,"[0.793, 6.89]",5.3,"[1.48, 19.4]",0.651,0.613,"[0.443, 0.78]","96S","9/24/2021, 9/21/2021, 9/29/2021", 
DDT,3,4,37.4,"[7.84, 392]",1.14e4,"[26.8, 4.29e7]",92,"[14, 1.16e3]",5.06e3,"[13.6, 1.91e7]",0.121,0.272,"[0.0619, 0.814]","96V","9/24/2021, 9/21/2021, 9/29/2021", 
chlorfenapyr,3,4,11.1,"[8.93, 13.9]",25.3,"[17.8, 47.1]",26.2,"[9.68, 71.7]",11.5,"[3.62, 38]",0.853,1.82,"[1.02, 2.67]","96Y","9/24/2021, 9/21/2021, 9/29/2021", 
