Ref.ID,Compound,Stock.ppm,max.ppm,Solvent,Class,Subclass,Parent,Generation,PAINS,Modifications
35M,yohimbine,3200,16,EtOH,Natural,Alkaloid,,,,
35N,yohimbine,32,0.16,EtOH,Natural,Alkaloid,,,,
(+)-Limonene oxide,(+)-Limonene oxide,NA,20000,EtOH,Natural,Monoterpenoid,D-limonene,,Yes,epoxidation
Geraniol,geraniol,NA,20000,EtOH,Natural,Monoterpenoid,geraniol,,,
JS104071A,piperitone,NA,10000,EtOH,Natural,Monoterpenoid,D-limonene,,Yes,oxidation to enone
JS104071B,terpinen-4-ol,NA,10000,EtOH,Natural,Monoterpenoid,D-limonene,,,
JS104071C,anethole,NA,10000,EtOH,Natural,Phenylpropanoid,,,Potential,
JS104071D,geranylacetone,NA,10000,EtOH,Natural,Terpenoid,,,,
JS104071E,methyl cinnamate,NA,10000,EtOH,Natural,Phenylpropanoid,,,Potential,
JS104071F,nootkatone,NA,10000,EtOH,Natural,Sesquiterpenoid,,,,
JSK-1008-A,citronellol,200000,1000,EtOH,Natural,Monoterpenoid,geraniol,,,alkene reduction
JSK-1008-B,D-limonene,200000,1000,EtOH,Natural,Monoterpenoid,D-limonene,,,
JSK-1008-C,thymol,200000,1000,EtOH,Natural,Monoterpenoid,thymol,,,
JSK-1008-D,geraniol,200000,1000,EtOH,Natural,Monoterpenoid,geraniol,,,
JSK-1008-E,nerol,200000,1000,EtOH,Natural,Monoterpenoid,geraniol,,,isomerization
JSK-1008-F,citral,200000,1000,EtOH,Natural,Monoterpenoid,geraniol,,Yes,oxidation to aldehyde
36A,thymyl acetate,,20000,EtOH,Natural,Monoterpenoid,thymol,,,esterification
36B,carvacryl acetate,,20000,EtOH,Natural,Monoterpenoid,thymol,,,esterification
36C,"2,5-dimethylphenyl acetate",,20000,EtOH,Biorational,Thymol,thymol,1,,"esterification, chain length"
34,JSK1036-34,,20000,EtOH,Biorational,Thymol,D-limonene,1,,hydroxylation
D-Limonene,D-limonene,200000,1000,EtOH,Natural,Monoterpenoid,D-limonene,,,
38A,imidacloprid,3200,16,EtOH,Conventional,Neonicotinoid,,,,
38B,chlorfenapyr,25600,128,EtOH,Conventional,Pyrrole,,,,
38C,chlorfenapyr,256,1.28,EtOH,Conventional,Pyrrole,,,,
38D,chlordimeform,25600,128,EtOH,Conventional,GPCR,,,,
38E,chlordimeform,256,1.28,EtOH,Conventional,GPCR,,,,
38F,chlorantraniliprole,1600,8,EtOH,Conventional,Ryanoid,,,,
38G,amitraz,12800,64,EtOH,Conventional,GPCR,,,,
38H,amitraz,256,1.28,EtOH,Conventional,GPCR,,,,
38K,DDVP,204800,1024,EtOH,Conventional,Organophosphate,,,,
38L,DDVP,2048,10.24,EtOH,Conventional,Organophosphate,,,,
38M,Naled,25600,128,EtOH,Conventional,Organophosphate,,,,
38N,Naled,256,1.28,EtOH,Conventional,Organophosphate,,,,
38O,malathion,6400,32,EtOH,Conventional,Organophosphate,,,,
40A,clonidine hydrochloride,25600,128,EtOH,Human drug,A2ADR,,,,
40B,phentolamine mesylate,25600,128,EtOH,Human drug,A1ADR,,,,
40C,naphazoline hydrochloride,25600,128,EtOH,Human drug,A1ADR,,,,
Thymol,thymol,200000,1000,EtOH,Natural,Monoterpenoid,thymol,,,
Limonene oxide,(+)-Limonene oxide,NA,20000,EtOH,Natural,Monoterpenoid,D-limonene,,Yes,epoxidation
1036-38A,imidacloprid,3200,16,EtOH,Conventional,Neonicotinoid,,,,
1036-38B,chlorfenapyr,25600,128,EtOH,Conventional,Pyrrole,,,,
1036-38C,chlorfenapyr,256,1.28,EtOH,Conventional,Pyrrole,,,,
1036-38D,chlordimeform,25600,128,EtOH,Conventional,GPCR,,,,
1036-38E,chlordimeform,256,1.28,EtOH,Conventional,GPCR,,,,
1036-38F,chlorantraniliprole,1600,8,EtOH,Conventional,Ryanoid,,,,
1036-38G,amitraz,12800,64,EtOH,Conventional,GPCR,,,,
1036-38H,amitraz,256,1.28,EtOH,Conventional,GPCR,,,,
1036-38K,DDVP,204800,1024,EtOH,Conventional,Organophosphate,,,,
1036-38L,DDVP,2048,10.24,EtOH,Conventional,Organophosphate,,,,
1036-38M,Naled,25600,128,EtOH,Conventional,Organophosphate,,,,
1036-38N,Naled,256,1.28,EtOH,Conventional,Organophosphate,,,,
1036-38O,malathion,6400,32,EtOH,Conventional,Organophosphate,,,,
36D,JSK1036-34,NA,20000,EtOH,Biorational,Thymol,D-limonene,1,,hydroxylation
57A,malathion,3200,16,EtOH,Conventional,Organophosphate,,,,
57B,malathion,800,4,EtOH,Conventional,Organophosphate,,,,
57C,malathion,200,1,EtOH,Conventional,Organophosphate,,,,
57D,malathion,800,4,EtOH,Conventional,Organophosphate,,,,
57E,malathion,6400,32,EtOH,Conventional,Organophosphate,,,,
57F,malathion,800,4,EtOH,Conventional,Organophosphate,,,,
57G,malathion,400,2,EtOH,Conventional,Organophosphate,,,,
57H,malathion,1600,8,EtOH,Conventional,Organophosphate,,,,
58A,malathion,800,4,EtOH,Conventional,Organophosphate,,,,
58B,malathion,1600,8,EtOH,Conventional,Organophosphate,,,,
58C,malathion,800,4,EtOH,Conventional,Organophosphate,,,,
58D,malathion,800,4,EtOH,Conventional,Organophosphate,,,,
58E,malathion,400,2,EtOH,Conventional,Organophosphate,,,,
58F,malathion,3200,16,EtOH,Conventional,Organophosphate,,,,
58G,malathion,6400,32,EtOH,Conventional,Organophosphate,,,,
58H,malathion,200,1,EtOH,Conventional,Organophosphate,,,,
59A,acetamiprid,1600,8,EtOH,Conventional,Neonicotinoid,,,,
59B,propoxur,1600,8,EtOH,Conventional,Carbamate,,,,
59C,carbaryl,1600,8,EtOH,Conventional,Carbamate,,,,
59D,carbofuran,1600,8,EtOH,Conventional,Carbamate,,,,
59E,beta-cypermethrin,1600,8,EtOH,Conventional,Pyrethroid,,,,
59F,S-nicotine,1600,8,EtOH,Natural,Alkaloid,,,,
59G,pyethrum,3200,16,EtOH,Natural,Terpenoid,,,,
93A,cyantraniliprole,3200,16,EtOH,Conventional,Diamide,,,,
93B,1061-2A,27800,139,EtOH,Synthetic,Benzamide,,,,
93C,1061-3B,26100,130.5,EtOH,Synthetic,Benzamide,,,,
93D,1061-4B,27000,135,EtOH,Synthetic,Benzamide,,,,
93E,1061-5B,28000,140,EtOH,Synthetic,Benzamide,,,,
58K,1036-49,51200,256,EtOH,Biorational,Thymol,thymol,3,,
58L,1036-50,25600,128,EtOH,Biorational,Thymol,thymol,3,,
94A,1061-1A,24900,124.5,EtOH,Synthetic,Benzamide,,,,
94B,1061-1B,27100,135.5,EtOH,Synthetic,Benzamide,,,,
94C,1061-2B,25700,128.5,EtOH,Synthetic,Benzamide,,,,
94D,1036-3A,25700,128.5,EtOH,Synthetic,Benzamide,,,,
94E,1061-4A,26400,132,EtOH,Synthetic,Benzamide,,,,
94F,1061-5A,29400,147,EtOH,Synthetic,Benzamide,,,,
94G,1061-6A,12800,64,EtOH,Synthetic,Benzamide,,,,
1036-94A,1061-1A,24900,124.5,EtOH,Synthetic,Benzamide,,,,
1036-94B,1061-1B,27100,135.5,EtOH,Synthetic,Benzamide,,,,
1036-94C,1061-2B,25700,128.5,EtOH,Synthetic,Benzamide,,,,
1036-94D,1036-3A,25700,128.5,EtOH,Synthetic,Benzamide,,,,
1036-94E,1061-4A,26400,132,EtOH,Synthetic,Benzamide,,,,
1036-94F,1061-5A,29400,147,EtOH,Synthetic,Benzamide,,,,
1036-94G,1061-6A,12800,64,EtOH,Synthetic,Benzamide,,,,
94H,1061-7A1,26800,134,EtOH,Synthetic,,,,,
94I,1061-11,16350,81.75,EtOH,Synthetic,,,,,
94J,1061-12A,14050,70.25,EtOH,Synthetic,,,,,
94L,1061-7A2,12950,64.75,EtOH,Synthetic,,,,,
94M,1061-9A1,12800,64,EtOH,Synthetic,,,,,
1036-94H,1061-7A1,26800,134,EtOH,Synthetic,,,,,
1036-94I,1061-11,16350,81.75,EtOH,Synthetic,,,,,
1036-94J,1061-12A,14050,70.25,EtOH,Synthetic,,,,,
1036-94L,1061-7A2,12950,64.75,EtOH,Synthetic,,,,,
1036-94M,1061-9A1,12800,64,EtOH,Synthetic,,,,,
1036-94N,1061-12B,32100,160.5,DMSO,Synthetic,,,,,
1036-94O,1091-14,13250,66.25,DMSO,Synthetic,,,,,
1036-94P,1036-15A,25600,128,DMSO,Synthetic,,,,,
1036-94Q,1036-15B,28500,142.5,DMSO,Synthetic,,,,,
1036-94R,1036-15C,27900,139.5,DMSO,Synthetic,,,,,
1036-94S,1036-16A,25700,128.5,DMSO,Synthetic,,,,,
1036-94T,1036-16B,27200,136,DMSO,Synthetic,,,,,
1036-94U,1036-16C,27800,139,DMSO,Synthetic,,,,,
94N,1061-12B,32100,160.5,DMSO,Synthetic,,,,,
94O,1091-14,13250,66.25,DMSO,Synthetic,,,,,
94P,1036-15A,25600,128,DMSO,Synthetic,,,,,
94Q,1036-15B,28500,142.5,DMSO,Synthetic,,,,,
94R,1036-15C,27900,139.5,DMSO,Synthetic,,,,,
94S,1036-16A,25700,128.5,DMSO,Synthetic,,,,,
94T,1036-16B,27200,136,DMSO,Synthetic,,,,,
94U,1036-16C,27800,139,DMSO,Synthetic,,,,,

